ID,Frame ID,Timecourse ID,Stomat ID,Genotype,Treatment,Total Fluorescence
36,b,30,2,Col.Ler,Control,609413.624
37,b,0,3,Col.Ler,Control,163563.9412
37,b,10,3,Col.Ler,Control,72547.102
37,b,20,3,Col.Ler,Control,60385.7916
37,b,30,3,Col.Ler,Control,169310.702
38,b,0,4,Col.Ler,Control,347806.8416
38,b,10,4,Col.Ler,Control,200432.118
38,b,20,4,Col.Ler,Control,157472.596
38,b,30,4,Col.Ler,Control,380255.136
39,b,0,5,Col.Ler,Control,652817.1104
39,b,10,5,Col.Ler,Control,109493.584
39,b,20,5,Col.Ler,Control,89563.1872
39,b,30,5,Col.Ler,Control,135154.784
40,C,0,1,Col.Ler,Control,414192.6022
40,C,10,1,Col.Ler,Control,311452.1538
40,C,30,1,Col.Ler,Control,460929.1822
41,C,0,2,Col.Ler,Control,79933.089
41,C,10,2,Col.Ler,Control,56266.519
41,C,30,2,Col.Ler,Control,138662.529
42,C,0,3,Col.Ler,Control,742862.686
42,C,10,3,Col.Ler,Control,259405.506
42,C,30,3,Col.Ler,Control,610977.246
43,C,0,4,Col.Ler,Control,835824.0023
43,C,10,4,Col.Ler,Control,287597.3657
43,C,30,4,Col.Ler,Control,782442.8727
44,C,0,5,Col.Ler,Control,175844.3542
44,C,10,5,Col.Ler,Control,116206.1458
44,C,30,5,Col.Ler,Control,265746.8542
45,C,0,6,Col.Ler,Control,68955.42767
45,C,10,6,Col.Ler,Control,53586.16433
45,C,30,6,Col.Ler,Control,132291.9877
46,a,0,1,a,Treatment_A,20205.04571
46,a,10,1,a,Treatment_A,21182.98
46,a,20,1,a,Treatment_A,215864.4543
46,a,30,1,a,Treatment_A,502150.1157
47,a,0,2,a,Treatment_A,300411.8491
47,a,10,2,a,Treatment_A,214134.816
47,a,20,2,a,Treatment_A,988732.1509
47,a,30,2,a,Treatment_A,1187156.393
48,a,0,3,a,Treatment_A,153456.7829
48,a,10,3,a,Treatment_A,169104.72
48,a,20,3,a,Treatment_A,485211.2171
48,a,30,3,a,Treatment_A,563633.7629
49,a,0,4,a,Treatment_A,248626.1269
49,a,10,4,a,Treatment_A,264241.632
49,a,20,4,a,Treatment_A,586046.8731
49,a,30,4,a,Treatment_A,500580.7149
50,a,0,5,a,Treatment_A,284948.9543
50,a,10,5,a,Treatment_A,464283.02
50,a,20,5,a,Treatment_A,393797.5457
50,a,30,5,a,Treatment_A,199742.8843
51,a,0,6,a,Treatment_A,100989.336
51,a,10,6,a,Treatment_A,81872.728
51,a,20,6,a,Treatment_A,422785.664
51,a,30,6,a,Treatment_A,838793.988
52,a,0,7,a,Treatment_A,79137.14171
52,a,10,7,a,Treatment_A,60668.188
52,a,20,7,a,Treatment_A,273529.3583
52,a,30,7,a,Treatment_A,645501.6837
53,b,0,1,a,Treatment_A,88408.1285
53,b,10,1,a,Treatment_A,90291.5985
53,b,20,1,a,Treatment_A,472541.0625
53,b,30,1,a,Treatment_A,664429.1625
54,b,0,2,a,Treatment_A,287214.6185
54,b,10,2,a,Treatment_A,317290.8885
54,b,20,2,a,Treatment_A,899914.3125
54,b,30,2,a,Treatment_A,759573.4125
55,b,0,3,a,Treatment_A,21511.78475
55,b,10,3,a,Treatment_A,20723.12975
55,b,20,3,a,Treatment_A,250243.0938
55,b,30,3,a,Treatment_A,676517.4438
56,b,0,4,a,Treatment_A,-5845.2355
56,b,10,4,a,Treatment_A,-3929.6455
56,b,20,4,a,Treatment_A,156767.5625
56,b,30,4,a,Treatment_A,465905.2625
57,c,0,1,a,Treatment_A,598461.836
57,c,10,1,a,Treatment_A,592235.008
57,c,20,1,a,Treatment_A,645666.7
57,c,30,1,a,Treatment_A,472551.956
58,c,0,2,a,Treatment_A,223666.596
58,c,10,2,a,Treatment_A,413398.288
58,c,20,2,a,Treatment_A,605127.7
58,c,30,2,a,Treatment_A,546667.916
59,c,0,3,a,Treatment_A,7748.678
59,c,10,3,a,Treatment_A,5233.784
59,c,20,3,a,Treatment_A,123717.35
59,c,30,3,a,Treatment_A,352448.438
